stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
64,0.5,14.0,67.72940689999996,,67.72339190000002,67.72940689999996,68.21593139999982,68.21593139999982,68.21593139999982,68.50787439999999,68.59822569999983,right,14.0,0,0,0.3789725000001454,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
65,0.5,14.5,68.60469679999983,,68.59835369999996,68.60469679999983,69.09102199999984,69.09102199999984,69.09102199999984,69.38182619999998,69.40429999999992,right,14.5,1,1,0.3099474000000555,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
66,0.5,14.5,69.40983319999987,,69.40442229999985,69.40983319999987,69.89626929999986,69.89626929999986,69.89626929999986,70.18820189999997,70.22454259999995,left,-14.5,0,0,0.3276057000000492,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
67,0.5,15.0,70.23306319999983,,70.22470090000002,70.23306319999983,70.71549459999983,70.71549459999983,70.71549459999983,71.0069802999999,71.07018319999997,left,-15.0,1,1,0.3525160000001506,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
68,0.5,15.0,71.07665150000003,,71.07030569999984,71.07665150000003,71.5626178,71.5626178,71.5626178,71.85457580000002,71.95927879999999,right,15.0,0,0,0.3893760000000839,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
69,0.5,15.5,71.96543829999996,,71.95940009999981,71.96543829999996,72.45177739999986,72.45177739999986,72.45177739999986,72.74349759999996,72.81990999999994,right,15.5,1,1,0.3676959000001716,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
70,0.5,15.5,72.82686879999983,,72.82006109999998,72.82686879999983,73.31249219999995,73.31249219999995,73.31249219999995,73.60463929999992,73.79922399999987,right,15.5,1,1,0.4799030000001494,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
71,0.5,15.5,73.80566349999981,,73.79933779999988,73.80566349999981,74.29189739999993,74.29189739999993,74.29189739999993,74.58337589999996,74.64033699999982,right,15.5,1,1,0.3467880000000605,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
72,0.5,15.0,74.6459577999999,,74.6404513,74.6459577999999,75.13218280000001,75.13218280000001,75.13218280000001,75.42398989999992,75.46615780000002,right,15.0,1,1,0.33105669999986276,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
73,0.5,15.0,75.47226179999984,,75.46627259999991,75.47226179999984,75.9584903,75.9584903,75.9584903,,76.22988409999994,left,-15.0,0,0,0.2696184000001267,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
